

AAPL Financials(Income Statement/Balance Sheet):

Income Statement for AAPL                                                        2023-09-30      2022-09-30      2021-09-30      2020-09-30
Interest Expense                                     1375000000.0    726000000.0    536000000.0    553000000.0
Interest Income                                       879000000.0    272000000.0     43000000.0     65000000.0
Normalized Income                                    6433345000.0   7053740000.0   7897375000.0   6462318000.0
Net Income From Continuing And Discontinued Ope...   5995000000.0   6950000000.0   7725000000.0   6375000000.0
Total Expenses                                      35539000000.0  36408000000.0  28986000000.0  24325000000.0
Total Operating Income As Reported                   6859000000.0   8393000000.0  10028000000.0   7794000000.0
Diluted Average Shares                                388000000.0    394000000.0    397000000.0    399000000.0
Basic Average Shares                                  386000000.0    392000000.0    394000000.0    396000000.0
Diluted EPS                                                 15.45          17.63          19.46          15.96
Basic EPS                                                   15.52          17.75          19.62          16.09
Diluted NI Availto Com Stockholders                  5995000000.0   6950000000.0   7725000000.0   6375000000.0
Net Income Common Stockholders                       5995000000.0   6950000000.0   7725000000.0   6375000000.0
Net Income                                           5995000000.0   6950000000.0   7725000000.0   6375000000.0
Minority Interests                                     40000000.0    -10000000.0     -3000000.0     -2000000.0
Net Income Including Noncontrolling Interests        5955000000.0   6960000000.0   7728000000.0   6377000000.0
Net Income Continuous Operations                     5955000000.0   6960000000.0   7728000000.0   6377000000.0
Earnings From Equity Interest Net Of Tax              -59000000.0   -172000000.0     -4000000.0     -3000000.0
Tax Provision                                         284000000.0    703000000.0   1109000000.0    850000000.0
Pretax Income                                        6298000000.0   7835000000.0   8841000000.0   7230000000.0
Other Income Expense                                 -524000000.0   -218000000.0   -891000000.0   -175000000.0
Other Non Operating Income Expenses                   -65000000.0   -104000000.0   -694000000.0    -76000000.0
Special Income Charges                               -459000000.0   -114000000.0   -197000000.0    -99000000.0
Restructuring And Mergern Acquisition                 459000000.0    114000000.0    197000000.0     99000000.0
Net Non Operating Interest Income Expense            -496000000.0   -454000000.0   -493000000.0   -488000000.0
Interest Expense Non Operating                       1375000000.0    726000000.0    536000000.0    553000000.0
Interest Income Non Operating                         879000000.0    272000000.0     43000000.0     65000000.0
Operating Income                                     7318000000.0   8507000000.0  10225000000.0   7893000000.0
Operating Expense                                    9782000000.0  10464000000.0   9413000000.0   8111000000.0
Research And Development                             1337000000.0   1471000000.0   1406000000.0   1181000000.0
Selling General And Administration                   8445000000.0   8993000000.0   8007000000.0   6930000000.0
Gross Profit                                        17100000000.0  18971000000.0  19638000000.0  16004000000.0
Cost Of Revenue                                     25757000000.0  25944000000.0  19573000000.0  16214000000.0
Total Revenue                                       42857000000.0  44915000000.0  39211000000.0  32218000000.0
Operating Revenue                                   42857000000.0  44915000000.0  39211000000.0  32218000000.0

Balance Sheet for TMO                                                        2023-12-31     2022-12-31     2021-12-31     2020-12-31
Treasury Shares Number                                  55541290.0     50157275.0     44720112.0     40417789.0
Ordinary Shares Number                                 386647344.0    390510837.0    394434629.0    396670508.0
Share Issued                                           442188634.0    440668112.0    439154741.0    437088297.0
Net Debt                                             26840000000.0  25964000000.0  30393000000.0  11410000000.0
Total Debt                                           34917000000.0  34488000000.0  34870000000.0  21735000000.0
Tangible Book Value                                 -13955000000.0 -14660000000.0 -21244000000.0  -4219000000.0
Invested Capital                                     81652000000.0  78466000000.0  75663000000.0  56242000000.0
Working Capital                                      10577000000.0   8219000000.0   6677000000.0  11653000000.0
Net Tangible Assets                                 -13955000000.0 -14660000000.0 -21244000000.0  -4219000000.0
Common Stock Equity                                  46735000000.0  43978000000.0  40793000000.0  34507000000.0
Total Capitalization                                 78043000000.0  72887000000.0  73126000000.0  53614000000.0
Total Equity Gross Minority Interest                 46842000000.0  44148000000.0  40977000000.0  34517000000.0
Minority Interest                                      107000000.0    170000000.0    184000000.0     10000000.0
Stockholders Equity                                  46735000000.0  43978000000.0  40793000000.0  34507000000.0
Gains Losses Not Affecting Retained Earnings         -3224000000.0  -3099000000.0  -2329000000.0  -2807000000.0
Other Equity Adjustments                             -3224000000.0  -3099000000.0  -2329000000.0  -2807000000.0
Treasury Stock                                       15133000000.0  12017000000.0   8922000000.0   6818000000.0
Retained Earnings                                    47364000000.0  41910000000.0  35431000000.0  28116000000.0
Additional Paid In Capital                           17286000000.0  16743000000.0  16174000000.0  15579000000.0
Capital Stock                                          442000000.0    441000000.0    439000000.0    437000000.0
Common Stock                                           442000000.0    441000000.0    439000000.0    437000000.0
Total Liabilities Net Minority Interest              51884000000.0  53006000000.0  54146000000.0  34535000000.0
Total Non Current Liabilities Net Minority Interest  37872000000.0  35996000000.0  40710000000.0  24231000000.0
Other Non Current Liabilities                         4642000000.0   4238000000.0   4540000000.0   3330000000.0
Non Current Deferred Liabilities                      1922000000.0   2849000000.0   3837000000.0   1794000000.0
Non Current Deferred Taxes Liabilities                1922000000.0   2849000000.0   3837000000.0   1794000000.0
Long Term Debt And Capital Lease Obligation          31308000000.0  28909000000.0  32333000000.0  19107000000.0
Long Term Debt                                       31308000000.0  28909000000.0  32333000000.0  19107000000.0
Current Liabilities                                  14012000000.0  17010000000.0  13436000000.0  10304000000.0
Current Deferred Liabilities                          2689000000.0   2601000000.0   2655000000.0   1271000000.0
Current Deferred Revenue                              2689000000.0   2601000000.0   2655000000.0   1271000000.0
Current Debt And Capital Lease Obligation             3609000000.0   5579000000.0   2537000000.0   2628000000.0
Current Debt                                          3609000000.0   5579000000.0   2537000000.0   2628000000.0
Payables And Accrued Expenses                         7714000000.0   8830000000.0   8244000000.0   6405000000.0
Current Accrued Expenses                              4842000000.0   5449000000.0   5377000000.0   4230000000.0
Payables                                              2872000000.0   3381000000.0   2867000000.0   2175000000.0
Accounts Payable                                      2872000000.0   3381000000.0   2867000000.0   2175000000.0
Total Assets                                         98726000000.0  97154000000.0  95123000000.0  69052000000.0
Total Non Current Assets                             74137000000.0  71925000000.0  75010000000.0  47095000000.0
Other Non Current Assets                              3999000000.0   4007000000.0   4640000000.0   2457000000.0
Goodwill And Other Intangible Assets                 60690000000.0  58638000000.0  62037000000.0  38726000000.0
Other Intangible Assets                              16670000000.0  17442000000.0  20113000000.0  12685000000.0
Goodwill                                             44020000000.0  41196000000.0  41924000000.0  26041000000.0
Net PPE                                               9448000000.0   9280000000.0   8333000000.0   5912000000.0
Accumulated Depreciation                             -6076000000.0  -4989000000.0  -4260000000.0  -3665000000.0
Gross PPE                                            15524000000.0  14269000000.0  12593000000.0   9577000000.0
Construction In Progress                              2238000000.0   2695000000.0   2567000000.0            NaN
Machinery Furniture Equipment                         9235000000.0   7967000000.0   7020000000.0   6975000000.0
Buildings And Improvements                            3593000000.0   3153000000.0   2575000000.0   2192000000.0
Land And Improvements                                  458000000.0    454000000.0    431000000.0    410000000.0
Properties                                                     0.0            0.0            0.0            0.0
Current Assets                                       24589000000.0  25229000000.0  20113000000.0  21957000000.0
Other Current Assets                                  1760000000.0   1644000000.0   1627000000.0   1131000000.0
Restricted Cash                                                NaN     12000000.0     13000000.0            NaN
Inventory                                             5088000000.0   5634000000.0   5051000000.0   4029000000.0
Finished Goods                                        2326000000.0   2569000000.0   2453000000.0   2184000000.0
Work In Process                                        705000000.0    660000000.0    676000000.0    540000000.0
Raw Materials                                         2057000000.0   2405000000.0   1922000000.0   1305000000.0
Receivables                                           9664000000.0   9427000000.0   8945000000.0   6472000000.0
Other Receivables                                     1443000000.0   1312000000.0    968000000.0    731000000.0
Accounts Receivable                                   8221000000.0   8115000000.0   7977000000.0   5741000000.0
Allowance For Doubtful Accounts Receivable            -193000000.0   -189000000.0   -150000000.0   -135000000.0
Gross Accounts Receivable                             8414000000.0   8304000000.0   8127000000.0   5876000000.0
Cash Cash Equivalents And Short Term Investments      8077000000.0   8524000000.0   4477000000.0  10325000000.0
Cash And Cash Equivalents                             8077000000.0   8524000000.0   4477000000.0  10325000000.0



ABT Financials(Income Statement/Balance Sheet):

Income Statement for ABT                                                       2023-12-31     2022-12-31     2021-12-31     2020-12-31
Tax Effect Of Unusual Items                            -5781000.0      -330000.0      -139000.0       800000.0
Tax Rate For Calcs                                          0.141          0.165          0.139            0.1
Normalized EBITDA                                   10585000000.0  12133000000.0  12283000000.0   8833000000.0
Total Unusual Items                                   -41000000.0     -2000000.0     -1000000.0      8000000.0
Total Unusual Items Excluding Goodwill                -41000000.0     -2000000.0     -1000000.0      8000000.0
Net Income From Continuing Operation Net Minori...   5723000000.0   6933000000.0   7071000000.0   4471000000.0
Reconciled Depreciation                              3243000000.0   3267000000.0   3538000000.0   3327000000.0
Reconciled Cost Of Revenue                          16698000000.0  17888000000.0  17046000000.0  13808000000.0
EBITDA                                              10544000000.0  12131000000.0  12282000000.0   8841000000.0
EBIT                                                 7301000000.0   8864000000.0   8744000000.0   5514000000.0
Net Interest Income                                  -252000000.0   -375000000.0   -490000000.0   -500000000.0
Interest Expense                                      637000000.0    558000000.0    533000000.0    546000000.0
Interest Income                                       385000000.0    183000000.0     43000000.0     46000000.0
Normalized Income                                    5758219000.0   6934670000.0   7071861000.0   4463800000.0
Net Income From Continuing And Discontinued Ope...   5723000000.0   6933000000.0   7071000000.0   4495000000.0
Total Expenses                                      33631000000.0  35291000000.0  34650000000.0  29251000000.0
Total Operating Income As Reported                   6478000000.0   8362000000.0   8425000000.0   5357000000.0
Diluted Average Shares                               1749000000.0   1764000000.0   1789000000.0   1786000000.0
Basic Average Shares                                 1734076358.0   1753000000.0   1775000000.0   1771230274.0
Diluted EPS                                                  3.26           3.91           3.94            2.5
Basic EPS                                                3.300316           3.94           3.97       2.537784
Diluted NI Availto Com Stockholders                  5723000000.0   6933000000.0   7071000000.0   4495000000.0
Net Income Common Stockholders                       5723000000.0   6933000000.0   7071000000.0   4495000000.0
Net Income                                           5723000000.0   6933000000.0   7071000000.0   4495000000.0
Net Income Including Noncontrolling Interests        5723000000.0   6933000000.0   7071000000.0   4495000000.0
Net Income Discontinuous Operations                           NaN            0.0            0.0     24000000.0
Net Income Continuous Operations                     5723000000.0   6933000000.0   7071000000.0   4471000000.0
Tax Provision                                         941000000.0   1373000000.0   1140000000.0    497000000.0
Pretax Income                                        6664000000.0   8306000000.0   8211000000.0   4968000000.0
Other Income Expense                                  438000000.0    319000000.0    276000000.0    111000000.0
Other Non Operating Income Expenses                   479000000.0    321000000.0    277000000.0    103000000.0
Special Income Charges                                        NaN            NaN            0.0            0.0
Gain On Sale Of Security                              -41000000.0     -2000000.0     -1000000.0      8000000.0
Net Non Operating Interest Income Expense            -252000000.0   -375000000.0   -490000000.0   -500000000.0
Interest Expense Non Operating                        637000000.0    558000000.0    533000000.0    546000000.0
Interest Income Non Operating                         385000000.0    183000000.0     43000000.0     46000000.0
Operating Income                                     6478000000.0   8362000000.0   8425000000.0   5357000000.0
Operating Expense                                   15656000000.0  16149000000.0  16113000000.0  14248000000.0
Depreciation Amortization Depletion Income Stat...   1966000000.0   2013000000.0   2047000000.0   2132000000.0
Depreciation And Amortization In Income Statement    1966000000.0   2013000000.0   2047000000.0   2132000000.0
Amortization                                         1966000000.0   2013000000.0   2047000000.0   2132000000.0
Amortization Of Intangibles Income Statement         1966000000.0   2013000000.0   2047000000.0   2132000000.0
Research And Development                             2741000000.0   2888000000.0   2742000000.0   2420000000.0
Selling General And Administration                  10949000000.0  11248000000.0  11324000000.0   9696000000.0
Gross Profit                                        22134000000.0  24511000000.0  24538000000.0  19605000000.0
Cost Of Revenue                                     17975000000.0  19142000000.0  18537000000.0  15003000000.0
Total Revenue                                       40109000000.0  43653000000.0  43075000000.0  34608000000.0
Operating Revenue                                   40109000000.0  43653000000.0  43075000000.0  34608000000.0

Balance Sheet for ABT                                                               2023-12-31     2022-12-31     2021-12-31     2020-12-31
Treasury Shares Number                                        253807494.0    248724257.0    221191228.0    209926622.0
Ordinary Shares Number                                       1734076358.0   1737795021.0   1764082193.0   1771230274.0
Share Issued                                                 1987883852.0   1986519278.0   1985273421.0   1981156896.0
Net Debt                                                     7783000000.0   6891000000.0   8251000000.0  11909000000.0
Total Debt                                                  15628000000.0  17716000000.0  19006000000.0  19649000000.0
Tangible Book Value                                          6109000000.0   3433000000.0   -168000000.0  -5744000000.0
Invested Capital                                            53282000000.0  53459000000.0  53852000000.0  51531000000.0
Working Capital                                              8829000000.0   9735000000.0  11134000000.0   8534000000.0
Net Tangible Assets                                          6109000000.0   3433000000.0   -168000000.0  -5744000000.0
Capital Lease Obligations                                     949000000.0    943000000.0    956000000.0    902000000.0
Common Stock Equity                                         38603000000.0  36686000000.0  35802000000.0  32784000000.0
Total Capitalization                                        52202000000.0  51208000000.0  53098000000.0  51311000000.0
Total Equity Gross Minority Interest                        38827000000.0  36905000000.0  36024000000.0  33003000000.0
Minority Interest                                             224000000.0    219000000.0    222000000.0    219000000.0
Stockholders Equity                                         38603000000.0  36686000000.0  35802000000.0  32784000000.0
Gains Losses Not Affecting Retained Earnings                -7839000000.0  -8051000000.0  -8374000000.0  -8946000000.0
Other Equity Adjustments                                    -7839000000.0  -8051000000.0  -8374000000.0  -8946000000.0
Treasury Stock                                              15981000000.0  15229000000.0  11822000000.0  10042000000.0
Retained Earnings                                           37554000000.0  35257000000.0  31528000000.0  27627000000.0
Capital Stock                                               24869000000.0  24709000000.0  24470000000.0  24145000000.0
Common Stock                                                24869000000.0  24709000000.0  24470000000.0  24145000000.0
Preferred Stock                                                       0.0            0.0            0.0            0.0
Total Liabilities Net Minority Interest                     34387000000.0  37533000000.0  39172000000.0  39545000000.0
Total Non Current Liabilities Net Minority Interest         20546000000.0  22044000000.0  26067000000.0  27638000000.0
Other Non Current Liabilities                                3466000000.0   3804000000.0   3685000000.0   3684000000.0
Employee Benefits                                            1964000000.0   1784000000.0   2738000000.0   3119000000.0
Non Current Pension And Other Postretirement Benefit Plans   1964000000.0   1784000000.0   2738000000.0   3119000000.0
Non Current Deferred Liabilities                              568000000.0    991000000.0   1392000000.0   1406000000.0
Non Current Deferred Taxes Liabilities                        568000000.0    991000000.0   1392000000.0   1406000000.0
Long Term Debt And Capital Lease Obligation                 14548000000.0  15465000000.0  18252000000.0  19429000000.0
Long Term Capital Lease Obligation                            949000000.0    943000000.0    956000000.0    902000000.0
Long Term Debt                                              13599000000.0  14522000000.0  17296000000.0  18527000000.0
Current Liabilities                                         13841000000.0  15489000000.0  13105000000.0  11907000000.0
Current Debt And Capital Lease Obligation                    1080000000.0   2251000000.0    754000000.0    220000000.0
Current Debt                                                 1080000000.0   2251000000.0    754000000.0    220000000.0
Payables And Accrued Expenses                               12761000000.0  13238000000.0  12351000000.0  11687000000.0
Current Accrued Expenses                                     6369000000.0   6763000000.0   6442000000.0   6265000000.0
Payables                                                     6392000000.0   6475000000.0   5909000000.0   5422000000.0
Other Payable                                                 650000000.0    638000000.0    364000000.0    316000000.0
Dividends Payable                                             955000000.0    887000000.0    831000000.0    798000000.0
Total Tax Payable                                             492000000.0    343000000.0    306000000.0    362000000.0
Income Tax Payable                                            492000000.0    343000000.0    306000000.0    362000000.0
Accounts Payable                                             4295000000.0   4607000000.0   4408000000.0   3946000000.0
Total Assets                                                73214000000.0  74438000000.0  75196000000.0  72548000000.0
Total Non Current Assets                                    50544000000.0  49214000000.0  50957000000.0  52107000000.0
Other Non Current Assets                                     7097000000.0   6033000000.0   5212000000.0   3729000000.0
Non Current Deferred Assets                                           NaN   6033000000.0   5212000000.0   3729000000.0
Non Current Deferred Taxes Assets                                     NaN   6033000000.0   5212000000.0   3729000000.0
Investments And Advances                                      799000000.0    766000000.0    816000000.0    821000000.0
Other Investments                                             244000000.0    208000000.0            NaN            NaN
Investmentin Financial Assets                                 555000000.0    558000000.0            NaN            NaN
Available For Sale Securities                                 555000000.0    558000000.0            NaN            NaN
Goodwill And Other Intangible Assets                        32494000000.0  33253000000.0  35970000000.0  38528000000.0
Other Intangible Assets                                      8815000000.0  10454000000.0  12739000000.0  14784000000.0
Goodwill                                                    23679000000.0  22799000000.0  23231000000.0  23744000000.0
Net PPE                                                     10154000000.0   9162000000.0   8959000000.0   9029000000.0
Accumulated Depreciation                                   -11779000000.0 -11050000000.0 -10405000000.0  -9764000000.0
Gross PPE                                                   21933000000.0  20212000000.0  19364000000.0  18793000000.0
Construction In Progress                                     2064000000.0   1484000000.0   1304000000.0   1357000000.0
Other Properties                                            15179000000.0  14164000000.0  13528000000.0            NaN
Machinery Furniture Equipment                                         NaN            NaN  13528000000.0  12884000000.0
Buildings And Improvements                                   4161000000.0   4053000000.0   4007000000.0   4014000000.0
Land And Improvements                                         529000000.0    511000000.0    525000000.0    538000000.0
Properties                                                            0.0            0.0            0.0            0.0
Current Assets                                              22670000000.0  25224000000.0  24239000000.0  20441000000.0
Prepaid Assets                                                        NaN            NaN   2346000000.0   1867000000.0
Inventory                                                    6570000000.0   6173000000.0   5157000000.0   5012000000.0
Finished Goods                                               3946000000.0   3805000000.0   3081000000.0   3030000000.0
Work In Process                                               807000000.0    680000000.0    694000000.0    712000000.0
Raw Materials                                                1817000000.0   1688000000.0   1382000000.0   1270000000.0
Receivables                                                  8821000000.0   8881000000.0   8833000000.0   8281000000.0
Other Receivables                                            2256000000.0   2663000000.0   2346000000.0   1867000000.0
Accounts Receivable                                          6565000000.0   6218000000.0   6487000000.0   6414000000.0
Allowance For Doubtful Accounts Receivable                   -444000000.0   -500000000.0   -519000000.0   -460000000.0
Gross Accounts Receivable                                    7009000000.0   6718000000.0   7006000000.0   6874000000.0
Cash Cash Equivalents And Short Term Investments             7279000000.0  10170000000.0  10249000000.0   7148000000.0
Other Short Term Investments                                  383000000.0    288000000.0    450000000.0    310000000.0
Cash And Cash Equivalents                                    6896000000.0   9882000000.0   9799000000.0   6838000000.0



XOM Financials(Income Statement/Balance Sheet):

Income Statement for XOM                                                        2023-12-31      2022-12-31      2021-12-31      2020-12-31
Tax Effect Of Unusual Items                                    0.0             0.0             0.0             0.0
Tax Rate For Calcs                                            0.33            0.33            0.31            0.17
Normalized EBITDA                                    74273000000.0  102591000000.0   52788000000.0   18284000000.0
Net Income From Continuing Operation Net Minori...   36010000000.0   55740000000.0   23040000000.0  -22440000000.0
Reconciled Depreciation                              20641000000.0   24040000000.0   20607000000.0   46009000000.0
Reconciled Cost Of Revenue                          250555000000.0  295608000000.0  211806000000.0  170447000000.0
EBITDA                                               74273000000.0  102591000000.0   52788000000.0   18284000000.0
EBIT                                                 53632000000.0   78551000000.0   32181000000.0  -27725000000.0
Net Interest Income                                   -849000000.0    -798000000.0    -947000000.0   -1158000000.0
Interest Expense                                       849000000.0     798000000.0     947000000.0    1158000000.0
Normalized Income                                    36010000000.0   55740000000.0   23040000000.0  -22440000000.0
Net Income From Continuing And Discontinued Ope...   36010000000.0   55740000000.0   23040000000.0  -22440000000.0
Total Expenses                                      290950000000.0  335129000000.0  253459000000.0  209227000000.0
Diluted Average Shares                                4052000000.0    4205000000.0    4275000000.0    4271000000.0
Basic Average Shares                                  4052000000.0    4205000000.0    4275000000.0    4271000000.0
Diluted EPS                                                   8.89           13.26            5.39           -5.25
Basic EPS                                                     8.89           13.26            5.39           -5.25
Diluted NI Availto Com Stockholders                  36010000000.0   55740000000.0   23040000000.0  -22440000000.0
Net Income Common Stockholders                       36010000000.0   55740000000.0   23040000000.0  -22440000000.0
Net Income                                           36010000000.0   55740000000.0   23040000000.0  -22440000000.0
Minority Interests                                   -1344000000.0   -1837000000.0    -558000000.0     811000000.0
Net Income Including Noncontrolling Interests        37354000000.0   57577000000.0   23598000000.0  -23251000000.0
Net Income Continuous Operations                     37354000000.0   57577000000.0   23598000000.0  -23251000000.0
Tax Provision                                        15429000000.0   20176000000.0    7636000000.0   -5632000000.0
Pretax Income                                        52783000000.0   77753000000.0   31234000000.0  -28883000000.0
Other Income Expense                                  9885000000.0   15005000000.0    8948000000.0    2928000000.0
Other Non Operating Income Expenses                   3500000000.0    3542000000.0    2291000000.0    1196000000.0
Earnings From Equity Interest                         6385000000.0   11463000000.0    6657000000.0    1732000000.0
Net Non Operating Interest Income Expense             -849000000.0    -798000000.0    -947000000.0   -1158000000.0
Interest Expense Non Operating                         849000000.0     798000000.0     947000000.0    1158000000.0
Operating Income                                     43747000000.0   63546000000.0   23233000000.0  -30653000000.0
Operating Expense                                    40395000000.0   39521000000.0   41653000000.0   38780000000.0
Other Operating Expenses                               751000000.0    1025000000.0    1054000000.0    1285000000.0
Other Taxes                                          29011000000.0   27919000000.0   30239000000.0   26122000000.0
Selling General And Administration                   10633000000.0   10577000000.0   10360000000.0   11373000000.0
General And Administrative Expense                   10633000000.0   10577000000.0   10360000000.0   11373000000.0
Other Gand A                                          9919000000.0   10095000000.0    9574000000.0   10168000000.0
Salaries And Wages                                     714000000.0     482000000.0     786000000.0    1205000000.0
Gross Profit                                         84142000000.0  103067000000.0   64886000000.0    8127000000.0
Cost Of Revenue                                     250555000000.0  295608000000.0  211806000000.0  170447000000.0
Total Revenue                                       334697000000.0  398675000000.0  276692000000.0  178574000000.0
Operating Revenue                                   334697000000.0  398675000000.0  276692000000.0  178574000000.0

Balance Sheet for XOM                                                                2023-12-31      2022-12-31      2021-12-31      2020-12-31
Treasury Shares Number                                        4048000000.0    3937000000.0    3780000000.0    3786000000.0
Ordinary Shares Number                                        3971000000.0    4082000000.0    4239000000.0    4233000000.0
Share Issued                                                  8019000000.0    8019000000.0    8019000000.0    8019000000.0
Net Debt                                                      6196000000.0    8254000000.0   39040000000.0   61596000000.0
Total Debt                                                   41573000000.0   41193000000.0   47704000000.0   67640000000.0
Tangible Book Value                                         204802000000.0  195049000000.0  168577000000.0  157150000000.0
Invested Capital                                            242537000000.0  232943000000.0  214419000000.0  223110000000.0
Working Capital                                              31293000000.0   28586000000.0    2511000000.0  -11470000000.0
Net Tangible Assets                                         204802000000.0  195049000000.0  168577000000.0  157150000000.0
Capital Lease Obligations                                     3838000000.0    3299000000.0    1862000000.0    1680000000.0
Common Stock Equity                                         204802000000.0  195049000000.0  168577000000.0  157150000000.0
Total Capitalization                                        238447000000.0  232309000000.0  210143000000.0  202652000000.0
Total Equity Gross Minority Interest                        212538000000.0  202473000000.0  175683000000.0  164130000000.0
Minority Interest                                             7736000000.0    7424000000.0    7106000000.0    6980000000.0
Stockholders Equity                                         204802000000.0  195049000000.0  168577000000.0  157150000000.0
Gains Losses Not Affecting Retained Earnings                -11989000000.0  -13270000000.0  -13764000000.0  -16705000000.0
Other Equity Adjustments                                    -11989000000.0  -13270000000.0  -13764000000.0  -16705000000.0
Treasury Stock                                              254917000000.0  240293000000.0  225464000000.0  225776000000.0
Retained Earnings                                           453927000000.0  432860000000.0  392059000000.0  383943000000.0
Capital Stock                                                17781000000.0   15752000000.0   15746000000.0   15688000000.0
Common Stock                                                 17781000000.0   15752000000.0   15746000000.0   15688000000.0
Total Liabilities Net Minority Interest                     163779000000.0  166594000000.0  163240000000.0  168620000000.0
Total Non Current Liabilities Net Minority Interest          98463000000.0   97549000000.0  106597000000.0  112257000000.0
Other Non Current Liabilities                                24228000000.0   21733000000.0   21717000000.0   21242000000.0
Employee Benefits                                            10496000000.0   10045000000.0   18430000000.0   22415000000.0
Non Current Pension And Other Postretirement Benefit Plans   10496000000.0   10045000000.0   18430000000.0   22415000000.0
Dueto Related Parties Non Current                             1804000000.0    2338000000.0    2857000000.0    3253000000.0
Tradeand Other Payables Non Current                                    0.0             0.0             0.0             0.0
Non Current Deferred Liabilities                             24452000000.0   22874000000.0   20165000000.0   18165000000.0
Non Current Deferred Taxes Liabilities                       24452000000.0   22874000000.0   20165000000.0   18165000000.0
Long Term Debt And Capital Lease Obligation                  37483000000.0   40559000000.0   43428000000.0   47182000000.0
Long Term Capital Lease Obligation                            3838000000.0    3299000000.0    1862000000.0    1680000000.0
Long Term Debt                                               33645000000.0   37260000000.0   41566000000.0   45502000000.0
Current Liabilities                                          65316000000.0   69045000000.0   56643000000.0   56363000000.0
Current Debt And Capital Lease Obligation                     4090000000.0     634000000.0    4276000000.0   20458000000.0
Current Debt                                                  4090000000.0     634000000.0    4276000000.0   20458000000.0
Other Current Borrowings                                      4009000000.0     181000000.0    2392000000.0    2930000000.0
Line Of Credit                                                   6000000.0     379000000.0     276000000.0     222000000.0
Commercial Paper                                                75000000.0      74000000.0    1608000000.0   17306000000.0
Payables And Accrued Expenses                                61226000000.0   68411000000.0   52367000000.0   35905000000.0
Payables                                                     61226000000.0   68411000000.0   52367000000.0   35905000000.0
Other Payable                                                11086000000.0   11474000000.0   11362000000.0    7838000000.0
Dueto Related Parties Current                                11885000000.0   14585000000.0    8885000000.0    6476000000.0
Total Tax Payable                                             7006000000.0    9183000000.0    5497000000.0    4092000000.0
Income Tax Payable                                            3189000000.0    5214000000.0    1601000000.0     684000000.0
Accounts Payable                                             31249000000.0   33169000000.0   26623000000.0   17499000000.0
Total Assets                                                376317000000.0  369067000000.0  338923000000.0  332750000000.0
Total Non Current Assets                                    279708000000.0  271436000000.0  279769000000.0  287857000000.0
Other Non Current Assets                                     17138000000.0   16951000000.0   18022000000.0   16789000000.0
Non Current Prepaid Assets                                    7527000000.0    8049000000.0    8326000000.0             NaN
Non Current Accounts Receivable                               5846000000.0    6944000000.0    5506000000.0             NaN
Investments And Advances                                     34257000000.0   34800000000.0   31363000000.0   43515000000.0
Investmentin Financial Assets                                  177000000.0     278000000.0     138000000.0             NaN
Available For Sale Securities                                  177000000.0     278000000.0     138000000.0             NaN
Long Term Equity Investment                                  34080000000.0   34522000000.0   31225000000.0   43515000000.0
Net PPE                                                     214940000000.0  204692000000.0  216552000000.0  227553000000.0
Accumulated Depreciation                                               NaN             NaN -278510000000.0 -277769000000.0
Gross PPE                                                   214940000000.0  204692000000.0  216552000000.0  227553000000.0
Other Properties                                            214940000000.0  204692000000.0  216552000000.0  227553000000.0
Current Assets                                               96609000000.0   97631000000.0   59154000000.0   44893000000.0
Other Current Assets                                          1906000000.0    1782000000.0    1189000000.0    1098000000.0
Restricted Cash                                                 29000000.0      25000000.0             0.0             NaN
Inventory                                                    25120000000.0   24435000000.0   18780000000.0   18850000000.0
Finished Goods                                               20528000000.0   20434000000.0   14519000000.0   14169000000.0
Raw Materials                                                 4592000000.0    4001000000.0    4261000000.0    4681000000.0
Receivables                                                  38015000000.0   41749000000.0   32383000000.0   20581000000.0
Other Receivables                                             7719000000.0    8905000000.0    5500000000.0    4242000000.0
Accounts Receivable                                          30296000000.0   32844000000.0   26883000000.0   16339000000.0
Allowance For Doubtful Accounts Receivable                    -170000000.0    -168000000.0    -159000000.0     -96000000.0
Gross Accounts Receivable                                    30466000000.0   33012000000.0   27042000000.0   16435000000.0
Cash Cash Equivalents And Short Term Investments             31539000000.0   29640000000.0    6802000000.0    4364000000.0
Cash And Cash Equivalents                                    31539000000.0   29640000000.0    6802000000.0    4364000000.0



WFC Financials(Income Statement/Balance Sheet):

Income Statement for WFC                                                       2023-12-31     2022-12-31     2021-12-31     2020-12-31
Tax Effect Of Unusual Items                                   0.0            0.0            0.0   -404730000.0
Tax Rate For Calcs                                           0.12          0.141          0.207           0.27
Total Unusual Items                                           NaN     -5000000.0    -76000000.0  -1499000000.0
Total Unusual Items Excluding Goodwill                        NaN     -5000000.0    -76000000.0  -1499000000.0
Net Income From Continuing Operation Net Minori...  19142000000.0  13677000000.0  22109000000.0   3377000000.0
Reconciled Depreciation                              6271000000.0   6832000000.0   7890000000.0   8219000000.0
Net Interest Income                                 52375000000.0  44950000000.0  35779000000.0  39956000000.0
Interest Expense                                    32743000000.0   9074000000.0   3915000000.0   7963000000.0
Interest Income                                     85118000000.0  54024000000.0  39694000000.0  47919000000.0
Normalized Income                                   19142000000.0  13677000000.0  22109000000.0   4471270000.0
Net Income From Continuing And Discontinued Ope...  19142000000.0  13677000000.0  22109000000.0   3377000000.0
Diluted Average Shares                                        NaN   3837000000.0   4096200000.0   4134200000.0
